place_id,name,city,address,country,latitude,longitude,rating,reviews,category,source_query,name_clean,category_clean,feature_text,nature,history,culture,adventure,photography,shopping,religious,family,travel_tags,estimated_visit_minutes,recommendation_text,rating_score,popularity_score
ChIJPeVowAaIBDkRnIfuPkskqi0,Hadimba Devi Temple,Manali,"Regency Road, Siyal Rd, Siyal, Manali, Himachal Pradesh 175131, India",India,32.2483526,77.18157269999999,4.6,49688,Tourist attraction,tourist attractions in Manali,hadimba devi temple,tourist attraction,hadimba devi temple tourist attraction,0,1,1,0,0,0,1,0,"history, culture, religious",60,"hadimba devi temple. manali. tourist attraction. history, culture, religious",0.7692307692307687,0.8676648090445256
ChIJDRZ2eeOHBDkRLmyaRD6AZBk,Museum of Himachal Culture & Folk Art,Manali,"Utopia Comlex, Hadimba Temple Rd, near Hadimba Temple, Siyal, Manali, Himachal Pradesh 175131, India",India,32.2462247,77.1805698,4.1,1154,Tourist attraction,tourist attractions in Manali,museum of himachal culture & folk art,tourist attraction,museum of himachal culture & folk art tourist attraction,0,1,1,0,0,0,0,1,"history, culture, family",120,"museum of himachal culture & folk art. manali. tourist attraction. history, culture, family",0.3846153846153842,0.4683880897509431
ChIJHZ3eboyHBDkRBLrRpkcXmO4,Jogini Falls,Manali,"On water fall way V.P.O.-Vashist 5 km.from, Manali, Himachal Pradesh 175103, India",India,32.2750756,77.1881463,4.6,10844,Tourist attraction,tourist attractions in Manali,jogini falls,tourist attraction,jogini falls tourist attraction,1,0,0,0,0,0,0,0,nature,90,jogini falls. manali. tourist attraction. nature,0.7692307692307687,0.7061065794917734
ChIJ3VQyL0WHBDkR4Uml16nJto8,Old Manali snow point,Manali,"65XJ+J2W, Hadimba Temple Path, Old Manali, Manali, Himachal Pradesh 175131, India",India,32.249112,77.180076,4.6,428,Tourist attraction,tourist attractions in Manali,old manali snow point,tourist attraction,old manali snow point tourist attraction,0,0,0,1,0,0,0,0,adventure,60,old manali snow point. manali. tourist attraction. adventure,0.7692307692307687,0.3632641012442656
ChIJk9K3np2HBDkRS4FxsgYCMKI,Nehru Kund,Manali,"Bashisht, Himachal Pradesh 175103, India",India,32.2859822,77.1798238,4.4,7767,Tourist attraction,tourist attractions in Manali,nehru kund,tourist attraction,nehru kund tourist attraction,0,0,0,0,0,0,0,0,,60,nehru kund. manali. tourist attraction. ,0.6153846153846154,0.6706875385007142
ChIJN0RueliHBDkRI0l6mnxMKk8,Mini Switzerland Manali,Manali,"near Nehru park, Siyal, Manali, Himachal Pradesh 175131, India",India,32.2468758,77.1891947,4.6,79,Tourist attraction,tourist attractions in Manali,mini switzerland manali,tourist attraction,mini switzerland manali tourist attraction,0,0,0,0,0,0,0,0,,60,mini switzerland manali. manali. tourist attraction. ,0.7692307692307687,0.18500416493610125
ChIJO_HIPq6JBDkRI2ACToybsFU,Baror Parsha Waterfall,Manali,"Baror, Manali, Himachal Pradesh 175131, India",India,32.206785499999995,77.18490039999999,4.7,489,Tourist attraction,tourist attractions in Manali,baror parsha waterfall,tourist attraction,baror parsha waterfall tourist attraction,1,0,0,0,1,0,0,0,"nature, photography",90,"baror parsha waterfall. manali. tourist attraction. nature, photography",0.846153846153846,0.3773756641978916
ChIJJSBNlWOJBDkRkmyIuy0OvGE,Kullu Manali River rafting,Manali,"65VQ+7MF, Siyal, Manali, Himachal Pradesh 175131, India",India,32.2431872,77.1891761,4.5,88,Tourist attraction,tourist attractions in Manali,kullu manali river rafting,tourist attraction,kullu manali river rafting tourist attraction,1,0,0,1,0,0,0,0,"nature, adventure",150,"kullu manali river rafting. manali. tourist attraction. nature, adventure",0.6923076923076921,0.19632005268654487
ChIJlwfAfe6JBDkR4IPtriR7BQQ,Van Vihar National Park,Manali,"65QQ+JJW, Chichoga Rd, Aleo, Manali, Himachal Pradesh 175131, India",India,32.2391128,77.1890887,4.2,9049,Tourist attraction,tourist attractions in Manali,van vihar national park,tourist attraction,van vihar national park tourist attraction,1,0,0,0,0,0,0,1,"nature, family",60,"van vihar national park. manali. tourist attraction. nature, family",0.4615384615384615,0.6869011121213925
ChIJg4mjPAeIBDkR8FyKz0PhtPw,Manali Bazaar,Manali,"65VQ+HQW, Chandigarh-Mandi, Kullu - Naggar - Manali Rd, Dhungri Village, Manali, Himachal Pradesh 175131, India",India,32.2439913,77.1894415,4.3,3992,Tourist attraction,tourist attractions in Manali,manali bazaar,tourist attraction,manali bazaar tourist attraction,0,0,1,0,0,1,0,0,"culture, shopping",90,"manali bazaar. manali. tourist attraction. culture, shopping",0.5384615384615381,0.6000525001668342
ChIJ_2wTl9-HBDkR93NtZcw3pBg,Mall Road Market Manali,Manali,"The Mall, Siyal, Manali, Himachal Pradesh 175131, India",India,32.244757199999995,77.1896343,4.4,18526,Tourist attraction,tourist attractions in Manali,mall road market manali,tourist attraction,mall road market manali tourist attraction,0,0,1,0,0,1,0,0,"culture, shopping",90,"mall road market manali. manali. tourist attraction. culture, shopping",0.6153846153846154,0.7629488612509898
ChIJeUAhkxpjBDkRhfezKvcFSCE,Sajla Waterfall,Manali,"Sajla Waterfall Sajla, Manali, Himachal Pradesh 175143, India",India,32.1731413,77.2017626,4.7,1091,Tourist attraction,tourist attractions in Manali,sajla waterfall,tourist attraction,sajla waterfall tourist attraction,1,0,0,0,1,0,0,0,"nature, photography",90,"sajla waterfall. manali. tourist attraction. nature, photography",0.846153846153846,0.4624345798931556
ChIJE_838TyJBDkRXDYPhrF-zPU,Manali View Point,Manali,"65MP+GW, Nasogi, Manali, Himachal Pradesh 175131, India",India,32.2338352,77.1873592,4.6,87,Tourist attraction,tourist attractions in Manali,manali view point,tourist attraction,manali view point tourist attraction,0,0,0,0,1,0,0,0,photography,45,manali view point. manali. tourist attraction. photography,0.7692307692307687,0.19512068286526577
ChIJs5Ldg-SHBDkRBRdmxDz62yA,DHUNGRI VAN VIHAR ( Forest Park ),Manali,"Old Manali, Manali, Himachal Pradesh 175131, India",India,32.2484109,77.1805366,4.4,107,Ecological park,tourist attractions in Manali,dhungri van vihar ( forest park ),ecological park,dhungri van vihar ( forest park ) ecological park,1,0,0,0,0,0,0,1,"nature, family",60,"dhungri van vihar ( forest park ). manali. ecological park. nature, family",0.6153846153846154,0.21685819665004274
ChIJoVn1RHV-BDkRGrbXKLpEGXg,Rahala Waterfalls,Manali,"86P9+G8X, Manali - Leh Hwy, Himachal Pradesh 175103, India",India,32.3363624,77.2183648,4.5,797,Tourist attraction,tourist attractions in Manali,rahala waterfalls,tourist attraction,rahala waterfalls tourist attraction,1,0,0,0,1,0,0,0,"nature, photography",90,"rahala waterfalls. manali. tourist attraction. nature, photography",0.6923076923076921,0.4291419943132155
ChIJgWT64uaHBDkR6Uy8Lo9yNlQ,Lama Dugh Trek Start Point,Manali,"65XG+H26, Old Manali, Manali, Himachal Pradesh 175131, India",India,32.2489026,77.1750129,4.6,297,Tourist attraction,tourist attractions in Manali,lama dugh trek start point,tourist attraction,lama dugh trek start point tourist attraction,0,0,0,1,0,0,0,0,adventure,150,lama dugh trek start point. manali. tourist attraction. adventure,0.7692307692307687,0.32458943706460597
ChIJK95YhoCHBDkR2k5IS1YOx18,Atal Bihari statue,Manali,"65WQ+6WM, Siyal, Manali, Himachal Pradesh 175131, India",India,32.2456714,77.18975669999999,4.5,74,Tourist attraction,tourist attractions in Manali,atal bihari statue,tourist attraction,atal bihari statue tourist attraction,0,0,0,0,0,0,0,0,,60,atal bihari statue. manali. tourist attraction. ,0.6923076923076921,0.1781538462445362
ChIJAzQuRJCHBDkR03MbiXBGmwE,"Him Valley Amusement & Cultural Park, Manali",Manali,"75GJ+M72, Manali - Leh Hwy, Bahang, Bashisht, Himachal Pradesh 175103, India",India,32.2766335,77.1806335,4.0,1109,Tourist attraction,tourist attractions in Manali,"him valley amusement & cultural park, manali",tourist attraction,"him valley amusement & cultural park, manali tourist attraction",1,0,0,0,0,0,0,1,"nature, family",60,"him valley amusement & cultural park, manali. manali. tourist attraction. nature, family",0.30769230769230754,0.4641699280800797
ChIJIcrH_LGHBDkRsYQYXrl5yLA,Manali Snow Point,Manali,"75GJ+886, Bahang, Bashisht, Himachal Pradesh 175103, India",India,32.275794999999995,77.18075689999999,4.6,4080,Tourist attraction,tourist attractions in Manali,manali snow point,tourist attraction,manali snow point tourist attraction,0,0,0,1,0,0,0,0,adventure,60,manali snow point. manali. tourist attraction. adventure,0.7692307692307687,0.6023663378368761
ChIJcyjUcUqHBDkRVlvG8vDqw9w,Manali Nature Park,Manali,"752P+VHV, Van Vihar Path, Siyal, Manali, Himachal Pradesh 175131, India",India,32.252246,77.18642539999999,4.6,265,Park,tourist attractions in Manali,manali nature park,park,manali nature park park,1,0,0,0,0,0,0,1,"nature, family",60,"manali nature park. manali. park. nature, family",0.7692307692307687,0.31253188048981295
ChIJa72MxnXBvzsRHHtpszB2g6M,Fort Aguada,Goa,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515, India",India,15.4922519,73.77374619999999,4.2,111434,Tourist attraction,tourist attractions in Goa,fort aguada,tourist attraction,fort aguada tourist attraction,0,1,1,0,1,0,0,0,"history, culture, photography",120,"fort aguada. goa. tourist attraction. history, culture, photography",0.4615384615384615,0.9533921200918553
ChIJQ4srFBimvzsRJQI7KOdIlP0,Dudhsagar Falls,Goa,"Sonauli, Goa 403410, India",India,15.3144375,74.3143073,4.6,32335,Tourist attraction,tourist attractions in Goa,dudhsagar falls,tourist attraction,dudhsagar falls tourist attraction,1,0,0,0,0,0,0,0,nature,90,dudhsagar falls. goa. tourist attraction. nature,0.7692307692307687,0.8220654764965124
ChIJ2SyWw3XBvzsREmaXkve8H78,Sinquerim Fort,Goa,"FQX8+9HJ, Candolim, Goa, India",India,15.4984662,73.766404,4.5,20206,Tourist attraction,tourist attractions in Goa,sinquerim fort,tourist attraction,sinquerim fort tourist attraction,0,1,1,0,1,0,0,0,"history, culture, photography",120,"sinquerim fort. goa. tourist attraction. history, culture, photography",0.6923076923076921,0.7721620771638517
ChIJVVVVVZUGvzsRsTuQyBI93Ro,Bhagwan Mahavir Wildlife Sanctuary,Goa,"87MQ+H89, Goa 403410, India",India,15.3339015,74.2883536,4.4,3423,Tourist attraction,tourist attractions in Goa,bhagwan mahavir wildlife sanctuary,tourist attraction,bhagwan mahavir wildlife sanctuary tourist attraction,0,0,0,0,0,0,0,0,,60,bhagwan mahavir wildlife sanctuary. goa. tourist attraction. ,0.6153846153846154,0.583734763749784
ChIJ59FcxPu5vzsRa3eXw7AkQaw,Kesarval Spring Verna Waterfall,Goa,"9WJH+WGF, Quelossim, Goa 403722, India",India,15.3823119,73.92880099999999,3.7,2326,Tourist attraction,tourist attractions in Goa,kesarval spring verna waterfall,tourist attraction,kesarval spring verna waterfall tourist attraction,1,0,0,0,1,0,0,0,"nature, photography",90,"kesarval spring verna waterfall. goa. tourist attraction. nature, photography",0.07692307692307697,0.5427391595262372
ChIJgQ9KpXTrvzsRccrngLKJ-bM,"Calangute Beach, Goa",Goa,"Calangute Beach Rd, Umtav Vado, Calangute, Goa 403516, India",India,15.5447206,73.75466899999999,4.3,103884,Tourist attraction,tourist attractions in Goa,"calangute beach, goa",tourist attraction,"calangute beach, goa tourist attraction",1,0,0,0,1,0,0,1,"nature, photography, family",90,"calangute beach, goa. goa. tourist attraction. nature, photography, family",0.5384615384615381,0.9459454446691071
